Freq.	V(vo)
1.25875717350490e+01	(-3.19538006843033e+00dB,-3.42554560881332e+01°)
1.25962997994744e+01	(-3.19829627613622e+00dB,-3.42660906339628e+01°)
1.26050339158303e+01	(-3.20121400027125e+00dB,-3.42767183880587e+01°)
1.26137740883130e+01	(-3.20413323987635e+00dB,-3.42873393394303e+01°)
1.26225203211216e+01	(-3.20705399398989e+00dB,-3.42979534770928e+01°)
1.26312726184585e+01	(-3.20997626164764e+00dB,-3.43085607900673e+01°)
1.26400309845285e+01	(-3.21290004188297e+00dB,-3.43191612673803e+01°)
1.26487954235398e+01	(-3.21582533372673e+00dB,-3.43297548980643e+01°)
1.26575659397033e+01	(-3.21875213620717e+00dB,-3.43403416711577e+01°)
1.26663425372326e+01	(-3.22168044834998e+00dB,-3.43509215757051e+01°)
1.26751252203447e+01	(-3.22461026917852e+00dB,-3.43614946007561e+01°)
1.26839139932591e+01	(-3.22754159771350e+00dB,-3.43720607353670e+01°)
1.26927088601985e+01	(-3.23047443297310e+00dB,-3.43826199685998e+01°)
1.27015098253884e+01	(-3.23340877397306e+00dB,-3.43931722895225e+01°)
1.27103168930571e+01	(-3.23634461972651e+00dB,-3.44037176872093e+01°)
1.27191300674362e+01	(-3.23928196924422e+00dB,-3.44142561507399e+01°)
